City Id,City,Cloudiness,Country,Date,Humidity,lattitude,long,Max temp,Wind Speed
422,zhanakorgan,4,KZ,1632186309,19,43.9098,67.2495,57.0,12.33
423,lukovetskiy,0,RU,1632186310,94,64.2956,41.9211,37.38,3.29
424,makokou,38,GA,1632186310,98,0.5738,12.8642,70.32,3.42
425,cabedelo,12,BR,1632186066,73,-6.9811,-34.8339,76.17,12.59
426,cermik,0,TR,1632186311,36,38.1361,39.4493,64.89,5.19
427,ugoofaaru,99,MV,1632186311,76,5.6667,73.0,82.06,10.65
428,sobolevo,100,RU,1632186312,97,54.4299,31.8996,42.49,10.58
429,pacifica,1,US,1632186188,24,37.6138,-122.4869,89.22,17.27
430,new london,1,US,1632186312,77,41.4834,-72.0662,64.22,4.61
431,urrao,100,CO,1632186313,98,6.3152,-76.1342,59.25,1.68
432,san carlos,40,VE,1632186313,94,9.6612,-68.5827,74.55,2.73
433,tungor,46,RU,1632186313,48,53.3808,142.9564,54.09,16.89
434,proletariy,100,RU,1632186314,79,58.4342,31.7046,41.36,9.22
435,nybro,100,SE,1632186314,80,56.7446,15.9071,41.81,3.13
436,pochutla,97,MX,1632186315,82,15.7432,-96.4661,79.65,4.32
437,cao bang,14,VN,1632186315,75,22.6667,106.25,81.46,1.23
438,wahiawa,100,US,1632186024,59,21.5028,-158.0236,77.63,13.09
439,mbigou,100,GA,1632186316,96,-1.9005,11.906,67.96,3.51
440,huarmey,22,PE,1632186316,84,-10.0681,-78.1522,62.28,10.22
441,homer,75,US,1632186317,51,59.6425,-151.5483,57.09,9.22
442,xining,0,CN,1632186317,35,36.6167,101.7667,52.74,2.26
443,prieska,0,ZA,1632186317,66,-29.6641,22.7474,46.35,11.79
444,nelson bay,100,AU,1632186318,60,-32.7167,152.15,59.05,21.54
445,richards bay,100,ZA,1632186318,76,-28.783,32.0377,66.49,15.93
446,yuxia,0,CN,1632186319,52,34.0615,108.6291,77.99,3.51
447,lithakia,3,GR,1632186319,78,37.7167,20.8333,69.17,2.13
448,monrovia,100,LR,1632186189,87,6.3005,-10.7969,77.77,5.91
449,billings,75,US,1632186320,35,45.7833,-108.5007,56.97,11.5
450,sault sainte marie,75,CA,1632186320,96,46.5168,-84.3333,66.76,12.66
451,bojnurd,0,IR,1632186320,34,37.4747,57.329,65.25,3.83
452,puksoozero,10,RU,1632186321,96,62.5903,40.6066,29.08,4.54
453,waingapu,74,ID,1632186321,58,-9.6567,120.2641,84.85,15.14
454,pestravka,100,RU,1632186322,54,52.405,49.9583,49.05,13.71
455,samoded,4,RU,1632186322,96,63.6083,40.5111,29.43,3.62
456,ust-nera,14,RU,1632186190,62,64.5667,143.2,35.46,5.44
457,kiunga,100,PG,1632186159,95,-6.1219,141.2906,75.92,1.79
458,tessalit,0,ML,1632186323,10,20.1986,1.0114,90.09,7.16
459,lubaczow,100,PL,1632186323,78,50.157,23.1234,43.93,13.2
460,coihaique,2,CL,1632186099,92,-45.5752,-72.0662,40.39,4.56
461,aleksandrovka,100,UA,1632186324,59,46.8383,32.7612,54.91,10.98
462,goroka,100,PG,1632186325,66,-6.0834,145.3873,72.57,2.28
463,buncrana,100,IE,1632186325,97,55.1333,-7.45,50.65,4.9
464,viamao,90,BR,1632186325,94,-30.0811,-51.0233,68.76,5.75
465,khasan,100,RU,1632186326,95,42.4308,130.6434,67.21,19.75
466,ascoli piceno,43,IT,1632186326,91,42.8548,13.5749,59.04,3.91
467,riyadh,0,SA,1632186325,18,24.6877,46.7219,77.14,5.57
468,ulladulla,46,AU,1632186327,54,-35.35,150.4667,55.35,18.66
469,piterka,100,RU,1632186327,51,50.6803,47.4454,54.55,16.6
470,merate,62,IT,1632186328,90,45.6987,9.4117,58.35,2.68
471,morehead,75,US,1632186328,94,37.2711,-87.1764,73.11,5.75
472,lavrentiya,45,RU,1632186329,58,65.5833,-171.0,36.7,5.28
473,hendek,83,TR,1632186329,54,40.7994,30.7481,59.32,4.14
474,awbari,0,LY,1632186330,19,26.5921,12.7805,80.26,7.05
475,gairo,0,IT,1632186330,62,39.8497,9.5047,58.55,3.98
476,kristiinankaupunki,0,FI,1632186330,87,62.2743,21.376,38.1,7.99
477,maloy,36,NO,1632186331,86,61.9353,5.1136,51.53,24.27
478,hirara,20,JP,1632186331,76,24.8,125.2833,83.5,7.09
479,ankang,0,CN,1632186332,74,32.68,109.0172,69.49,2.33
480,kunming,5,CN,1632186332,79,25.0389,102.7183,64.04,2.35
481,ewa beach,20,US,1632186333,43,21.3156,-158.0072,89.55,12.66
482,kashi,0,CN,1632186333,17,39.4547,75.9797,68.2,5.66
483,greenville,40,US,1632186257,73,35.6127,-77.3663,75.13,5.75
484,kahului,40,US,1632186334,45,20.8947,-156.47,87.82,21.85
485,taoudenni,0,ML,1632186334,9,22.6783,-3.9836,95.79,11.63
486,launceston,40,AU,1632186335,50,-41.45,147.1667,51.44,4.61
487,vangaindrano,95,MG,1632186335,90,-23.35,47.6,66.15,5.86
488,koshurnikovo,94,RU,1632186336,90,54.1667,93.3,36.93,4.07
489,tuatapere,100,NZ,1632186336,94,-46.1333,167.6833,46.24,3.62
490,naryan-mar,100,RU,1632186336,84,67.6713,53.087,39.99,13.02
491,araouane,0,ML,1632186337,13,18.9048,-3.5265,95.36,6.04
492,atyrau,40,KZ,1632186337,48,47.1167,51.8833,62.62,22.37
493,ambilobe,0,MG,1632186338,78,-13.2,49.05,65.68,5.32
494,aktau,98,KZ,1632186338,42,43.65,51.2,63.18,15.37
495,tombouctou,0,ML,1632186338,12,20.0,-3.0,92.77,3.89
496,le mars,1,US,1632186339,82,42.7942,-96.1656,60.78,6.91
497,maceio,0,BR,1632186339,94,-9.6658,-35.7353,72.84,3.44
498,tuy hoa,100,VN,1632186054,83,13.0833,109.3,79.05,5.75
499,nam som,93,TH,1632186340,90,17.7704,102.1895,78.1,4.59
500,atambua,85,ID,1632186340,42,-9.1061,124.8925,83.16,4.72
501,coahuayana,43,MX,1632186341,87,18.7333,-103.6833,83.68,2.64
502,sangar,46,RU,1632186341,72,63.9242,127.4739,40.23,2.89
503,qinzhou,1,CN,1632186341,76,21.95,108.6167,83.59,1.45
504,zatreni,11,RO,1632186342,89,44.7667,23.85,49.44,1.12
505,cervo,36,ES,1632186342,82,43.6702,-7.4101,62.53,11.86
506,inuvik,100,CA,1632186343,68,68.3499,-133.7218,42.57,16.93
507,ahuimanu,75,US,1632186343,54,21.4447,-157.8378,89.31,12.66
508,shingu,99,JP,1632186344,80,33.7333,135.9833,74.01,9.91
509,saint anthony,90,US,1632186344,78,45.0205,-93.218,62.53,12.66
510,ambovombe,0,MG,1632186344,82,-25.1667,46.0833,62.78,7.09
511,vetralla,43,IT,1632186345,97,42.3098,12.0784,61.66,4.12
512,raahe,26,FI,1632186345,86,64.6833,24.4833,33.89,10.83
513,benguela,99,AO,1632186345,87,-12.5763,13.4055,70.52,4.25
514,pokhara,66,NP,1632186346,88,28.2333,83.9833,70.25,1.63
515,havelock,100,US,1632186346,78,34.8791,-76.9013,76.98,7.65
516,sciacca,70,IT,1632186347,55,37.5082,13.0881,75.78,3.8
517,muravlenko,100,RU,1632186347,98,63.7898,74.523,33.8,12.53
518,baykit,100,RU,1632186348,86,61.67,96.37,38.53,5.59
519,gimli,100,CA,1632186348,56,50.6336,-96.9907,56.91,16.98
520,balad,0,IQ,1632186160,26,34.0164,44.1453,81.86,10.63
521,detchino,100,RU,1632186349,96,54.8092,36.3075,45.05,11.18
522,tazovskiy,96,RU,1632186349,85,67.4667,78.7,31.96,14.03
523,galesong,100,ID,1632186349,72,-5.3166,119.3661,78.82,4.83
524,saint-augustin,22,CA,1632186350,60,51.226,-58.6502,50.04,11.52
525,chernyshevskiy,100,RU,1632186350,71,63.0128,112.4714,38.82,12.21
526,silver city,1,US,1632186351,24,32.7701,-108.2803,76.96,10.36
527,escanaba,90,US,1632186351,88,45.7453,-87.0646,70.23,12.66
528,timra,90,SE,1632186352,93,62.487,17.3257,40.71,2.3
529,artyom,0,AZ,1632186353,78,40.4723,50.333,69.94,13.33
530,chokwe,5,MZ,1632186353,58,-24.5333,32.9833,67.33,5.37
531,grand-santi,100,GF,1632186353,84,4.25,-54.3833,75.25,2.59
532,nanakuli,20,US,1632186354,45,21.3906,-158.1547,89.55,12.66
533,protivin,100,CZ,1632186354,61,49.1995,14.2172,49.86,0.67
534,darfield,23,GB,1632186355,83,53.5339,-1.376,53.83,5.48
535,kenai,1,US,1632186355,50,60.5544,-151.2583,55.45,17.27
536,honiara,16,SB,1632186355,65,-9.4333,159.95,86.9,9.37
537,kongsberg,100,NO,1632186356,92,59.6652,9.6465,49.06,4.12
538,blackwater,4,AU,1632186356,22,-23.5833,148.8833,75.49,21.56
539,bengkulu,86,ID,1632186356,83,-3.8004,102.2655,78.15,3.18
540,noumea,11,NC,1632186357,53,-22.2763,166.4572,82.38,4.12
541,nhulunbuy,20,AU,1632186357,54,-12.2333,136.7667,86.61,19.57
542,centralina,19,BR,1632186358,22,-18.5839,-49.1994,85.44,3.13
543,tokur,76,RU,1632186358,74,53.1333,132.9,51.33,2.71
544,beloha,0,MG,1632186359,72,-25.1667,45.05,62.47,7.56
545,karla,0,EE,1632186231,76,59.3723,24.9275,44.56,3.44
546,katherine,74,AU,1632186359,31,-14.4667,132.2667,89.92,18.41
547,oranjemund,3,NA,1632186360,74,-28.55,16.4333,54.43,14.83
548,inirida,100,CO,1632186360,95,3.8653,-67.9239,74.75,2.39
549,tomatlan,38,MX,1632186361,90,19.9333,-105.25,76.91,1.61
550,surt,0,LY,1632186361,47,31.2089,16.5887,82.74,11.7
551,tshikapa,100,CD,1632186361,49,-6.4167,20.8,74.7,0.87
552,salisbury,64,GB,1632186362,87,51.0693,-1.7957,48.58,5.01
553,swan river,24,CA,1632186362,50,52.1058,-101.2676,51.35,10.02
554,palembang,20,ID,1632186363,89,-2.9167,104.7458,78.89,5.75
